Origem/Destino;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;Ipanema;São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Paquetá;0;27457;25248;20789;24444;23173;23990;26480;25385;25260;23668;29485;22044;23109;27108;30890;25759;20682;25092;27364;36361;27880;25386;31206;22583;20862;25953;27056;30550;30650;37111;29243;26506;34532;24125;30852;17885;22428;14511;35800;15422;25268;17667;39450;21694;35121;23494;60975;20221;17349;24583;41941;24424;26075;14590;17584;19949;50101;34013;23611;69625;36734;46429;21209;39229;14978;14076;22383;18782;17219;18420;22270;26655;15649;20104;34653;23000;20607;51499;62026;14099;15055;32037;12234;17211;8881;10789;58319;15871;12901;17387;11802;14658;5790;6920;2118;12244;11812;5750;10377;13957;10877;29610;31626;21694;15489;26414;5909;7038;11206;8736;8294;9687;7874;7477;11898;6293;13940;28548;12604;5532;8460;8106;59384;48666;19757;8449;36776;9498;11547;31764;73811;30862;38039;41429;11299;30865;15479;43490;11863;11736;14318;29247;17617;34857;17132;17497;24427;20301;63987;46423;19494;23867;59103;55367;12900;31880;3741;53956;42713;44150;45472;43010;57678
Freguesia (Ilha);22408;0;1964;9204;2482;5491;3954;19895;3586;21191;3632;25899;18410;7027;23750;24305;4335;17566;5796;24007;33002;25658;5407;27847;20764;17746;5792;6956;27190;27290;33751;25883;23148;31172;25813;27492;19572;24116;13864;32440;13878;26956;14688;36091;23382;31761;25181;57615;21909;19036;26270;38582;29319;29793;16277;19271;21637;46741;30654;28506;66265;33374;43069;22896;35869;16665;16677;24071;20469;18907;23769;27165;36364;20780;25912;36341;27895;22295;48140;58666;18859;21244;33724;18228;23493;18751;19068;54959;22030;19309;23164;19938;22841;22085;20290;23388;21724;21292;22045;19857;23494;20123;31297;33313;23382;25292;28102;20718;21329;21435;21755;29816;22703;23550;21649;24917;22291;26958;30236;25623;27610;29982;26202;61072;50354;32775;30075;38464;28204;33069;33451;70451;32550;39727;43117;27245;32553;28172;45177;29201;33257;27011;41939;30310;36545;29825;30190;37119;32994;65675;48111;32186;36560;60790;57054;21979;28520;24140;50596;39353;40791;42112;39650;59365
Bancários;20679;2467;0;7475;900;3763;2225;18166;2607;19462;2402;24170;16682;5568;22022;22577;3356;15838;4817;22278;31273;23929;4428;26118;19036;16017;4813;5977;25462;25561;32023;24154;21420;29443;24084;25764;17844;22387;12136;30712;12149;25227;12960;34362;21653;30033;23453;55887;20180;17308;24542;36853;27591;28065;14549;17543;19908;45013;28925;26778;64537;31646;41340;21168;34141;14937;14948;22342;18741;17178;22041;25437;34636;19051;24183;34612;26166;20566;46411;56937;17130;19515;31996;16500;21765;17023;17340;53231;20302;17581;21436;18210;21113;20356;18561;21660;19996;19564;20317;18129;21765;18395;29569;31585;21653;23564;26373;18990;19600;19706;20027;28087;20975;21821;19921;23188;20562;25230;28507;23894;25881;28253;24473;59343;48625;31047;28346;36735;26475;31340;31723;68723;30821;37998;41388;25517;30824;26444;43449;27472;31529;25282;40211;28581;34816;28097;28461;35391;31265;63946;46382;30458;34831;59062;55326;20250;26792;22411;48867;37625;39062;40383;37921;57637
Galeão;16740;9811;7603;0;6799;5151;5496;14228;8124;15523;6902;20232;12743;7813;18083;18638;10462;11899;9796;18339;27334;19991;10090;22179;15097;12078;10657;11759;21523;21623;28084;20216;17481;25505;20145;21825;13905;18449;8197;26773;8210;21288;9021;30423;17715;26094;19514;51948;16242;13369;20603;32914;23652;24126;10610;13604;15970;41074;24986;22839;60598;27707;37402;17229;30202;10998;11009;18404;14802;13240;18102;21498;30697;15112;20245;30673;22228;16628;42472;52999;13192;15576;28057;12561;17826;13084;13401;49292;16363;13642;17497;14271;17174;16418;14622;17721;16057;15625;16378;14190;17826;14456;25630;27646;17714;19625;22434;15051;15662;15767;16088;24148;17036;17882;15982;19249;16623;21291;24569;19955;21942;24314;20534;55404;44687;27108;24408;32796;22536;27401;27784;64784;26882;34060;37449;21578;26885;22505;39510;23534;27590;21344;36272;24642;30877;24158;24522;31452;27326;60007;42443;26519;30892;55123;51387;16311;22853;18472;44929;33686;35123;36445;33982;53698
Tauá;19885;2849;924;6681;0;2969;1431;17373;1600;18668;1377;23377;15888;4775;21228;21783;2349;15044;3810;21484;30479;23136;3421;25324;18242;15223;3806;4970;24668;24768;31229;23361;20626;28650;23290;24970;17050;21594;11342;29918;11356;24434;12166;33568;20860;29239;22659;55093;19387;16514;23748;36060;26797;27271;13755;16749;19115;44219;28131;25984;63743;30852;40547;20374;33347;14143;14155;21549;17947;16385;21247;24643;33842;18257;23390;33818;25373;19773;45617;56144;16337;18721;31202;15706;20971;16229;16546;52437;19508;16787;20642;17416;20319;19563;17767;20866;19202;18770;19523;17335;20971;17601;28775;30791;20859;22770;25579;18196;18807;18912;19233;27293;20181;21027;19127;22395;19768;24436;27714;23101;25088;27459;23679;58550;47832;30253;27553;35941;25682;30546;30929;67929;30027;37205;40594;24723;30031;25650;42655;26679;30735;24489;39417;27788;34022;27303;27667;34597;30472;63152;45589;29664;34037;58268;54532;19457;25998;21617;48074;36831;38268;39590;37128;56843
Portuguesa;17987;5745;3537;6288;2733;0;2074;15474;4058;16770;2432;21478;13990;2876;19329;19885;4807;13145;4859;19586;28581;21237;5153;23426;16344;13325;5720;6822;22770;22869;29331;21462;18727;26751;21392;23072;15152;19695;9444;28019;9457;22535;10267;31670;18961;27340;20760;53195;17488;14616;21849;34161;24898;25373;11856;14850;17216;42321;26233;24086;61845;28954;38648;18476;31448;12245;12256;19650;16049;14486;19349;22745;31944;16359;21491;31920;23474;17874;43719;54245;14438;16823;29303;13807;19073;14331;14647;50539;17610;14888;18743;15517;18421;17664;15869;18967;17304;16872;17624;15436;19073;15703;26877;28893;18961;20872;23681;16298;16908;17014;17334;25395;18283;19129;17228;20496;17870;22538;25815;21202;23189;25561;21781;56651;45933;28355;25654;34043;23783;28648;29030;66030;28129;35306;38696;22824;28132;23751;40756;24780;28836;22590;37519;25889;32124;25404;25769;32699;28573;61254;43690;27766;32139;56370;52633;17558;24100;19719;46175;34932;36370;37691;35229;54944
Moneró;18994;4596;2387;5506;1583;2077;0;16481;2908;17776;2750;22485;14996;3883;20336;20891;3657;14152;5011;20592;29588;22244;4729;24433;17350;14331;5114;6278;23776;23876;30337;22469;19734;27758;22399;24078;16158;20702;10450;29026;10464;23542;11274;32676;19968;28347;21767;54201;18495;15622;22856;35168;25905;26379;12863;15857;18223;43327;27239;25092;62851;29960;39655;19482;32455;13251;13263;20657;17055;15493;20355;23751;32950;17366;22498;32926;24481;18881;44726;55252;15445;17830;30310;14814;20079;15337;15654;51545;18616;15895;19750;16524;19427;18671;16876;19974;18310;17878;18631;16443;20080;16709;27883;29899;19967;21878;24688;17304;17915;18020;18341;26401;19289;20136;18235;21503;18876;23544;26822;22209;24196;26568;22787;57658;46940;29361;26661;35049;24790;29655;30037;67037;29135;36313;39703;23831;29139;24758;41763;25787;29843;23597;38525;26896;33130;26411;26776;33705;29580;62260;44697;28772;33146;57376;53640;18565;25106;20726;47182;35939;37376;38698;36236;55951
Vigário Geral;23499;24707;22499;18039;21695;20424;21241;0;22636;1597;20918;7704;6774;20360;5317;6291;23009;5379;22343;5573;14585;6099;22637;9430;4877;9657;23204;24306;8774;8873;15335;7466;5195;12755;6832;9076;8003;6133;14956;14024;14969;11161;13838;17674;7791;13344;9166;39199;11935;20128;9022;20165;15461;11377;17368;20362;10482;28325;12237;15588;47849;14958;24652;11742;17452;17756;16721;13592;21561;19998;24861;15846;17948;21871;16967;22713;14951;23386;29723;40249;19950;22335;17455;19319;24585;19843;20159;36543;23122;20400;24255;21029;23933;23176;21381;24479;21768;21336;23136;19901;23481;21215;19107;23872;24473;26384;29193;21810;22420;21479;22846;30907;23794;24641;22740;26008;23382;28050;31327;26714;28701;31073;27293;50848;40781;33867;31166;26757;29295;34160;34542;52035;33641;25157;30148;28336;33644;29263;35604;30292;34348;28102;43031;31401;37636;30916;31281;38211;34085;55450;37887;33278;37651;50566;46314;22023;10104;25231;32179;20937;22374;23695;21233;49141
Cocotá;21068;2890;1561;7864;1205;4151;2614;18555;0;19851;2292;24559;17071;4073;22410;22966;1380;16226;2841;22667;31662;24318;2452;26507;19425;16406;2837;4001;25851;25950;32412;24543;21809;29832;24473;26153;18233;22776;12525;31101;12538;25616;13349;34751;22042;30421;23842;56276;20569;17697;24931;37242;27980;28454;14937;17932;20297;45402;29314;27167;64926;32035;41729;21557;34529;15326;15337;22731;19130;17567;22430;25826;35025;19440;24572;35001;26555;20955;46800;57326;17519;19904;32384;16888;22154;17412;17729;53620;20691;17970;21824;18598;21502;20745;18950;22049;20385;19953;20705;18517;22154;18784;29958;31974;22042;23953;26762;19379;19989;20095;20415;28476;21364;22210;20309;23577;20951;25619;28896;24283;26270;28642;24862;59732;49014;31436;28735;37124;26864;31729;32112;69112;31210;38387;41777;25906;31213;26832;43837;27861;31918;25671;40600;28970;35205;28486;28850;35780;31654;64335;46771;30847;35220;59451;55714;20639;27181;22800;49256;38014;39451;40772;38310;58026
Jardim América;23406;28954;26745;22286;25941;24670;25487;1618;26882;0;25165;7059;6188;24606;4879;4412;27256;8614;26590;5135;14147;5661;26883;8992;7237;9674;27450;28553;8336;8435;14897;7028;4277;12317;6394;8638;13173;6376;19202;13585;19215;10723;13400;17236;8033;12906;8526;38761;11295;14164;8584;19727;15023;10939;14505;18769;9843;27887;11799;15150;47411;14520;24214;11102;17014;16163;16283;13154;11679;18405;16527;15408;17510;20278;16529;22275;14512;21793;29285;39811;18357;20742;17017;18447;22991;24089;24406;36105;21528;20594;22662;19494;22339;22862;21288;24654;21330;20898;22822;19463;23043;19446;18668;23434;22880;24790;27600;21984;22595;21041;23027;30814;23976;24822;22921;26189;23556;24941;29734;23605;28609;30981;27200;50410;40343;34048;35412;26319;33541;34067;26817;51596;32048;24719;29710;32583;32051;33510;35166;34538;34256;32348;47277;35647;36043;35163;35527;42457;38331;55012;37449;37524;41897;50128;45876;21585;9666;25405;31741;20499;21936;23257;20795;48703
