Centroide-Centroide;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;c(-43.2031639, -22.9841183);São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Paquetá;0;17938;15875;25461;15518;16686;16911;31073;14397;33584;15701;37538;29958;16570;35158;35409;13750;28728;15299;33544;41554;34768;13069;38782;30299;30299;12089;13171;38611;38663;44509;37539;32563;42585;35185;38906;28082;31562;25029;42536;25046;36329;25865;47568;32590;41028;34556;69072;32167;30181;35629;49999;39154;37116;26015;29871;32805;57010;39487;38491;74332;44548;54356;34061;46560;27829;27353;36052;31638;29958;34623;37032;41504;30617;35769;47497;37863;33452;59561;69221;29956;31750;40347;29372;34645;29886;30654;68473;33178;30455;34044;30898;33246;33247;31636;34801;33392;32428;33250;30994;35988;30989;42476;44562;42198;36444;39262;32130;32347;32567;33166;40996;34104;35057;32827;36396;33705;36162;39897;34827;38821;41172;36449;71697;61491;45184;41186;46501;38423;41357;42635;82032;43635;45488;52200;38607;43683;39548;56317;40505;41513;38147;53115;41053;47632;40936;41820;44393;44595;77155;59236;44070;47762;71999;66813;33012;39939;34681;63373;50811;51106;53327;52377;70470
Freguesia (Ilha);19110;0;2535;14987;3439;6212;4681;20599;5081;23110;4771;27063;19484;8027;24684;24934;5792;18253;7590;23070;31080;24294;6849;28308;19825;19824;7236;8317;28136;28189;34035;27064;22088;32110;24710;28432;17607;21088;14555;32062;14571;25855;15391;37093;22116;30554;24082;58598;21692;19707;25154;39524;28680;26642;15540;19397;22330;46535;29012;28016;63858;34074;43882;23587;36085;17355;16879;25577;21164;19483;24149;26558;31029;20142;25294;37022;27388;22977;49087;58746;19481;21276;29873;18897;24171;19412;20180;57998;22704;19981;23570;20423;22772;22773;21161;24327;22918;21954;22775;20520;25514;20514;32002;34088;31723;25969;28788;21656;21873;22092;22691;30522;23630;24582;22353;25922;23231;25688;29423;24352;28346;30697;25974;61222;51016;34710;30712;36026;27949;30882;32160;71558;33160;35014;41726;28133;33209;29073;45843;30031;31038;27673;42641;30579;37158;30461;31346;33918;34121;66680;48762;33596;37288;61525;56338;22537;29464;24206;52898;40336;40632;42852;41902;59996
Bancários;16726;2554;0;12521;973;3746;2214;18133;2697;20643;2388;24597;17018;5560;22218;22468;3408;15787;5206;20603;28613;21828;4466;25842;17359;17358;4852;5934;25670;25723;31568;24598;19622;29644;22244;25965;15141;18621;12089;29595;12105;23388;12924;34627;19650;28088;21615;56131;19226;17241;22688;37058;26214;24176;13074;16931;19864;44069;26546;25550;61392;31608;41415;21120;33619;14889;14413;23111;18697;17017;21683;24091;28563;17676;22828;34556;24922;20511;46620;56280;17015;18809;27407;16431;21705;16946;17713;55532;20237;17514;21104;17957;20305;20307;18695;21861;20452;19488;20309;18053;23048;18048;29536;31622;29257;23503;26322;19190;19406;19626;20225;28056;21164;22116;19886;23456;20764;23222;26957;21886;25880;28231;23508;58756;48550;32243;28245;33560;25482;28416;29694;69092;30694;32547;39259;25666;30742;26607;43376;27564;28572;25207;40175;28112;34692;27995;28880;31452;31654;64214;46295;31130;34822;59059;53872;20071;26998;21740;50432;37870;38166;40386;39436;57530
Galeão;26375;16233;13690;0;12894;10780;12446;17454;13923;19965;12105;23918;16339;11576;21539;21790;14203;15109;13753;19925;27935;21149;13834;25163;16680;16680;14303;15431;24992;25044;30890;23920;18944;28966;21566;25287;14463;17943;11410;28917;11427;22710;12246;33949;18972;27409;20937;55453;18548;16562;22010;36380;25535;23497;12396;16252;19186;43391;25868;24872;60713;30929;40737;20442;32940;14210;13734;22433;18019;16339;21004;23413;27885;16998;22150;33878;24244;19832;45942;55602;16337;18131;26728;15753;21026;16267;17035;54854;19559;16836;20425;17279;19627;19628;18017;21182;19773;18809;19631;17375;22370;17370;28857;30943;28579;22825;25643;18511;18728;18948;19547;27377;20485;21438;19208;22777;20086;22543;26278;21208;25202;27552;22830;58078;47872;31565;27567;32882;24804;27738;29016;68413;30016;31869;38581;24988;30064;25928;42698;26886;27894;24528;39496;27434;34013;27317;28201;30774;30976;63536;45617;30451;34144;58380;53194;19393;26320;21062;49754;37192;37487;39708;38758;56851
Tauá;15718;3516;973;11740;0;2965;1434;17352;1689;19863;1363;23816;16237;4780;21437;21688;2400;15007;4198;19823;27833;21047;3457;25061;16578;16578;3844;4925;24890;24942;30788;23817;18842;28864;21464;25185;14360;17841;11308;28815;11324;22608;12144;33847;18869;27307;20835;55351;18445;16460;21908;36278;25433;23395;12294;16150;19084;43289;25766;24770;60611;30827;40635;20340;32838;14108;13632;22331;17917;16236;20902;23311;27782;16895;22048;33775;24142;19730;45840;55500;16234;18029;26626;15650;20924;16165;16933;54752;19457;16734;20323;17176;19525;19526;17914;21080;19671;18707;19529;17273;22267;17268;28755;30841;28477;22722;25541;18409;18626;18846;19444;27275;20383;21336;19106;22675;19984;22441;26176;21106;25100;27450;22728;57975;47770;31463;27465;32779;24702;27636;28913;68311;29913;31767;38479;24886;29962;25826;42596;26784;27791;24426;39394;27332;33911;27214;28099;30672;30874;63433;45515;30349;34041;58278;53092;19290;26217;20959;49652;37089;37385;39606;38655;56749
Portuguesa;17688;6079;3536;9850;2740;0;2052;15462;4155;17972;3418;21926;14346;2889;19546;19797;4866;13116;5066;17932;25942;19156;5147;23170;14688;14687;5616;6744;22999;23052;28897;21927;16951;26973;19573;23294;12470;15950;9418;26924;9434;20717;10253;31956;16979;25416;18944;53460;16555;14569;20017;34387;23543;21505;10403;14260;17193;41398;23875;22879;58720;28936;38744;18449;30948;12218;11742;20440;16026;14346;19012;21420;25892;15005;20157;31885;22251;17840;43949;53609;14344;16138;24736;13760;19034;14275;15042;52861;17566;14843;18433;15286;17634;17636;16024;19189;17780;16816;17638;15382;20377;15377;26864;28950;26586;20832;23650;16519;16735;16955;17554;25384;18492;19445;17215;20784;18093;20551;24286;19215;23209;25560;20837;56085;45879;29572;25574;30889;22811;25745;27023;66421;28023;29876;36588;22995;28071;23936;40705;24893;25901;22536;37504;25441;32021;25324;26208;28781;28983;61543;43624;28458;32151;56388;51201;17400;24327;19069;47761;35199;35495;37715;36765;54858
Moneró;17005;4900;2358;10815;1562;2040;0;16427;2976;18938;2650;22892;15312;3855;20512;20763;3687;14082;5485;18898;26908;20122;4744;24136;15653;15653;5131;6212;23965;24017;29863;22893;17917;27939;20539;24260;13436;16916;10383;27890;10400;21683;11219;32922;17944;26382;19910;54426;17521;15535;20983;35353;24508;22470;11369;15225;18159;42364;24841;23845;59686;29902;39710;19415;31914;13183;12707;21406;16992;15312;19977;22386;26858;15971;21123;32851;23217;18806;44915;54575;15310;17104;25701;14726;19999;15240;16008;53827;18532;15809;19398;16252;18600;18601;16990;20155;18746;17782;18604;16348;21342;16343;27830;29916;27552;21798;24616;17484;17701;17921;18520;26350;19458;20411;18181;21750;19059;21516;25251;20181;24175;26526;21803;57051;46845;30538;26540;31855;23777;26711;27989;67386;28989;30842;37554;23961;29037;24902;41671;25859;26867;23501;38469;26407;32986;26290;27174;29747;29949;62509;44590;29424;33116;57353;52167;18366;25293;20035;48727;36165;36460;38681;37731;55824
Vigário Geral;35120;24978;22436;21562;21640;19525;21192;0;22669;1591;20850;7633;5297;20322;5241;5457;22948;5360;22499;5486;12470;4864;22580;8878;4808;6604;23048;24176;8707;8759;14605;7635;4631;12681;6748;9002;8184;6475;14932;12632;14949;7892;9914;17664;8505;14721;10470;39168;13169;10479;11543;20095;14671;11286;11579;12249;11787;27106;12178;15520;44428;14644;24452;13044;16655;11850;14428;14575;13612;14112;16879;15663;16840;13671;17071;22648;14866;14804;29657;39317;13976;14790;17350;14392;18799;19789;17686;38569;15568;14476;18198;16091;16300;21493;20102;22911;16446;17201;21496;18069;18156;18064;17961;21633;26352;18255;23416;20597;20814;19642;19927;29470;22571;23524;21294;20232;22172;20743;20366;19432;25509;29646;24916;41793;40132;29460;26309;26156;26890;29823;26788;52128;27788;24951;30116;28510;27837;29450;34958;30408;29979;28050;33405;30956;31786;30838;31723;34296;34498;49690;37760;33973;37665;50524;45338;20087;10034;23147;33469;20906;21202;23423;22472;48995
Cocotá;14868;4004;1674;13016;1317;4241;2710;18628;0;21139;2376;25092;17513;4196;22713;22964;1550;16283;3348;21099;29109;22323;2608;26337;17854;17854;2994;4075;26166;26218;32064;25094;20118;30140;22740;26461;15636;19117;12584;30091;12601;23884;13420;35123;20145;28583;22111;56627;19722;17736;23184;37554;26709;24671;13570;17426;20360;44565;27042;26046;61887;32103;41911;21616;34114;15384;14908;23607;19193;17512;22178;24587;29059;18171;23324;35051;25418;21006;47116;56776;17510;19305;27902;16926;22200;17441;18209;56028;20733;18010;21599;18452;20801;20802;19191;22356;20947;19983;20805;18549;23543;18544;30031;32117;29753;23998;26817;19685;19902;20122;20720;28551;21659;22612;20382;23951;21260;23717;27452;22382;26376;28726;24004;59252;49046;32739;28741;34056;25978;28912;30189;69587;31190;33043;39755;26162;31238;27102;43872;28060;29068;25702;40670;28608;35187;28490;29375;31948;32150;64710;46791;31625;35317;59554;54368;20567;27493;22236;50928;38366;38661;40882;39932;58025
Jardim América;36178;26036;23494;22620;22698;20584;22250;1816;23727;0;21909;5388;6496;21380;5100;3453;24006;6967;23557;5345;11336;4723;23638;8737;6416;8211;24106;25234;8566;8618;14464;7494;4490;12540;6607;8861;9792;6736;16539;12491;15962;7751;11521;17523;10112;14580;9430;39027;12129;12086;9523;19954;14530;11145;14659;13857;10747;26965;12037;15379;44287;14503;24311;12004;16514;13457;15997;14434;12572;15719;16738;15522;16699;15278;16930;22508;14725;16785;29516;39176;15583;16398;17209;17910;18725;19990;19255;38428;15728;16083;17821;19541;17907;23062;21671;24479;18053;21072;23064;19638;19763;19632;17820;21492;24966;19862;22234;22165;22382;21210;21495;31039;24139;25092;22862;23904;23740;22350;20225;21040;27077;31214;26484;41652;39992;32820;27878;26015;28458;31392;22585;51987;24798;24810;29975;29225;25105;30166;34818;31123;31548;28765;36765;31671;29054;31554;32438;35011;35213;49550;37620;34688;38381;50383;45197;21655;9894;24716;33328;20766;21061;23282;22332;48854
